scope,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct,mae_improvement_pct,year_ci025,year_ci975,date_ci025,date_ci975
major,broad_to_marquee,987,734.2130099238442,-170.42090895474513,5.0382736813923135,19.222237916872366,23.14074727147752,54.40729483282675,0.8448423215351886,-11.072758475474863,-1.8034325803053608,-18.873623102970797,6.334828057467398
major,current,987,740.468803755738,-242.48821444242228,7.168850326913212,18.930084637686495,23.04121359134063,56.53495440729483,0.0,0.0,0.0,0.0,0.0
major,hybrid_mean,987,732.6648599319797,-190.0299203834489,5.617988733995361,18.830179903817502,23.086161951977452,55.319148936170215,1.0539193257266044,-16.775130530018366,-1.1034429959537773,-16.827974520387297,0.8960803333920152
major,marquee_mean,987,735.3501374034097,-217.21615324741072,6.421714534865686,18.830179903817502,23.030790686245773,56.12968591691996,0.691273734472797,-10.076901206037409,-1.1695540914149782,-10.393776184493694,0.01606215407351147
major,marquee_median,987,735.9296060523334,-225.770340179165,6.6746080040315565,18.908570307911795,23.010575265961585,56.02836879432624,0.6130167375561713,-10.287151106219556,0.3384716361633036,-9.65292329295006,0.45319869007029795
major,past_selected,987,734.2415844402293,-200.19653507234736,5.918551543630035,18.830179903817502,23.08108242899817,55.319148936170215,0.8409833451353488,-11.124104719623372,-0.9373744859308317,-15.070667402108919,2.7778107689631906
major,ranked_mean,987,733.7886165459307,-194.2735048678546,5.74344481889526,18.688778926843103,23.121492975488675,55.42046605876393,0.9021564684325245,-11.494685781156862,-1.814797696330928,-14.811026720379557,1.6469105544244667
marquee,broad_to_marquee,154,1425.8024787661645,64.41508720268423,-0.8061485087530018,15.439744285100126,20.211461009915208,44.8051948051948,2.735114879379119,-59.578385442195426,-13.057411085311681,-121.78385301253351,41.08157853988988
marquee,current,154,1465.8964301433014,-397.47082524106446,4.974308457158328,15.396253156260883,19.573540605401465,58.44155844155844,0.0,0.0,0.0,0.0,0.0
marquee,hybrid_mean,154,1422.2805560262568,-125.02422455743523,1.5646659278414243,15.30954741407867,19.641954470920133,51.94805194805194,2.9753721490938356,-64.90231586212525,-14.078873556041229,-94.1042743736546,7.123331602535857
marquee,marquee_mean,154,1433.0904321579244,-235.49988758212717,2.9472580327100095,15.129380533337617,19.506739259111743,55.84415584415584,2.2379478734503744,-55.324863844153576,-8.467934274275889,-65.40924899538857,0.3822002764000013
marquee,marquee_median,154,1436.804299407845,-290.3244492810978,3.6333820538977046,15.2146750750655,19.37717679274487,55.1948051948052,1.9845966015902161,-54.12872702487254,2.512094174649519,-60.620309673138486,2.686841240079307
marquee,past_selected,154,1431.6455440341483,-170.84882874322176,2.138156362036292,15.539244144944556,19.53362469798991,51.94805194805194,2.3365147362972127,-72.07875612661194,-5.416449435155951,-86.73778485376492,17.526830049116707
marquee,ranked_mean,154,1428.800639666509,-182.9515127489129,2.289620267260828,15.396253156260883,19.476795105440793,53.896103896103895,2.53058740808626,-71.775214395136,-10.593734213515004,-82.5813976091024,9.356220297542714
marquee_2022_2025,broad_to_marquee,130,1361.4169852669434,139.21179890338496,-1.7197649642259227,13.12602627904955,19.416127889099425,44.61538461538462,3.371103475306292,-66.53724818610071,-24.614555767928884,-140.82819970419948,48.690525561695495
marquee_2022_2025,current,130,1408.9128968983212,-407.94535891459435,5.039588175042454,14.46563139085854,18.660437563752378,60.76923076923077,0.0,0.0,0.0,0.0,0.0
marquee_2022_2025,hybrid_mean,130,1357.2448614058223,-85.20092425860274,1.0525369660749906,14.106122378252097,18.741481681366803,53.07692307692308,3.6672270944672625,-69.08853600819744,-26.64110198770798,-110.59220609730784,8.13671065219397
marquee_2022_2025,marquee_mean,130,1370.0504069771823,-216.07209430323783,2.66926525234773,14.35346628412766,18.581303661224556,57.692307692307686,2.7583316191294283,-62.61683232279491,-15.389601097462831,-77.06455968460345,0.329629793453345
marquee_2022_2025,marquee_median,130,1374.4499112578574,-281.0181135466338,3.4715815024110808,14.35489259975715,18.42782197029764,56.92307692307692,2.446069286208752,-59.49951487740884,3.091808214953254,-71.78031896096515,4.303855960310132
marquee_2022_2025,past_selected,130,1368.338770276709,-139.485455370996,1.7231456030003645,15.19080867532486,18.613152565741768,53.07692307692308,2.8798179582949945,-78.77724469811233,-7.959161544176335,-100.98992990531261,21.342547304155218
marquee_2022_2025,ranked_mean,130,1364.968652795044,-153.82248103927628,1.900259286105821,14.230389545623094,18.545831356106667,55.38461538461539,3.1190178044376737,-84.34897458114523,-20.440197052804848,-97.11763995501657,11.915854037898978
marquee_2024_2025,broad_to_marquee,78,1336.065700568261,3.6496190699817235,-0.04396954825087729,11.27619500081149,18.094323171581163,46.15384615384615,4.485947803544777,-71.73446198309215,-52.268450246025594,-190.23805456232506,66.19067934282778
marquee_2024_2025,current,78,1398.8158494419379,-542.6403252268597,6.537572690576998,14.613661005184671,17.76824076707124,65.38461538461539,0.0,0.0,0.0,0.0,0.0
marquee_2024_2025,hybrid_mean,78,1330.463191612912,-187.9084284542422,2.2638660510129083,13.256824027844035,17.549582211642033,53.84615384615385,4.886465781489068,-74.12453926372308,-61.61879615521346,-150.304930656288,16.115034521393195
marquee_2024_2025,marquee_mean,78,1345.1287700737505,-322.3124189843185,3.88312620759389,14.35346628412766,17.46348353673922,60.256410256410255,3.838037679484829,-70.9087457806448,-33.595135220320316,-108.65716978789015,4.9694874236839235
marquee_2024_2025,marquee_median,78,1339.3163345645291,-296.09555633686324,3.5672730774289896,14.149423414113663,17.47192414278916,58.97435897435898,4.25356310490378,-69.35948306242479,-47.996218661556924,-117.12206594883989,0.8096644403561959
marquee_2024_2025,past_selected,78,1342.416763660525,-252.78829367454594,3.0455197824329927,13.683629997936695,17.415453279110764,57.692307692307686,4.031916410148872,-99.93039373742027,-19.086536104835258,-131.8960811239442,21.2677674147999
marquee_2024_2025,ranked_mean,78,1342.416763660525,-252.78829367454594,3.0455197824329927,13.683629997936695,17.415453279110764,57.692307692307686,4.031916410148872,-99.93039373742027,-19.086536104835258,-131.8960811239442,21.2677674147999
both_ranked,broad_to_marquee,211,1179.714555519663,-229.79815881191863,3.730960353010826,17.275508007968284,21.216936089818528,49.28909952606635,2.7183452156857135,-79.50436839393645,-5.135683588500766,-80.20816969262019,14.811658296944133
both_ranked,current,211,1212.6793670761863,-455.3384100825425,7.392790107650105,17.56852807043568,21.18889600311732,56.872037914691944,0.0,0.0,0.0,0.0,0.0
both_ranked,hybrid_mean,211,1180.3539215904357,-274.5107500541799,4.456905704652225,16.181093818545452,21.24473401982513,53.08056872037915,2.665621792814732,-58.14036018662133,-6.264674454395247,-65.55378805825846,0.5146977992859576
both_ranked,marquee_mean,211,1194.63389147852,-374.6642874481193,6.082979991593785,16.51868140649826,21.105642874631922,55.92417061611374,1.4880665151559946,-30.516094208194126,-5.564061593526913,-37.00254660264456,1.0480276936971893
both_ranked,marquee_median,211,1195.770324683335,-401.8492680642866,6.5243503028298395,16.51868140649826,21.042049825664964,55.92417061611374,1.394353928328107,-40.86547647177766,2.2339428273928936,-36.048410461801666,1.7132731984869947
both_ranked,past_selected,211,1187.4152681876437,-272.5373304447406,4.424865629306362,16.854107267785064,21.392996694089533,51.65876777251185,2.0833288315488696,-50.680362447574645,-0.2855579568319497,-65.27607052107996,15.902412893456889
both_ranked,ranked_mean,211,1181.4312875686994,-229.8032520252047,3.7310430454786103,16.159560244895875,21.564420894843014,51.65876777251185,2.576780009280366,-54.20598350842592,-8.071528801776603,-70.29265971057839,7.842995141365177
nonmarquee,broad_to_marquee,833,606.3561333311463,-213.83596706788336,8.4498894966626,19.668162894652813,23.68229599210249,56.182472989195674,0.0,0.0,0.0,0.0,0.0
nonmarquee,current,833,606.3561333311463,-213.83596706788336,8.4498894966626,19.668162894652813,23.68229599210249,56.182472989195674,0.0,0.0,0.0,0.0,0.0
nonmarquee,hybrid_mean,833,605.1728825027857,-202.04778011598924,7.984070399551191,19.668162894652813,23.722906192172914,55.942376950780314,0.19514123191270993,-7.234120835474942,3.4977942631251318,-4.159584958518255,1.7510729034148227
nonmarquee,marquee_mean,833,606.3561333311463,-213.83596706788336,8.4498894966626,19.668162894652813,23.68229599210249,56.182472989195674,0.0,0.0,0.0,0.0,0.0
nonmarquee,marquee_median,833,606.3561333311463,-213.83596706788336,8.4498894966626,19.668162894652813,23.68229599210249,56.182472989195674,0.0,0.0,0.0,0.0,0.0
nonmarquee,past_selected,833,605.3097599774879,-205.62216145252185,8.125314773576653,19.650084392738787,23.736914950697177,55.942376950780314,0.17256745601136325,-7.838043414807461,4.362838550520649,-4.11508948901478,1.865905689349959
nonmarquee,ranked_mean,833,605.2989988261601,-196.36664626799504,7.759576111291155,19.74376864275115,23.795302665749627,55.70228091236494,0.17434218058925977,-7.9551190810054315,4.40769738385359,-4.843327294529928,2.6483623518967154
