scope,variant,games,mae_000s,mape_pct,mae_delta_000s,game_wins
all,baseline,1821,499.48916428415095,37.16327229470237,0.0,0
all,early_monday,1821,499.4891642841487,37.16327229470246,-2.194648392482175e-12,0
all,holiday_mean50,1821,498.8654791492944,37.15587212725039,-0.623685134856539,2
all,holiday_sun_mon,1821,498.64382572347137,37.07552687715278,-0.8453385606794892,365
all,monday_mean25,1821,498.750274063418,37.144891731199685,-0.7388902207329496,4
all,monday_mean50,1821,498.82622503285745,37.1525267297863,-0.6629392512935214,3
all,monday_median50,1821,498.7661939144243,37.15163418116359,-0.7229703697266164,3
all,monday_rank_interaction,1821,499.26506072672555,37.16386008251282,-0.22410355742529559,938
all,pooled_holiday_nights,1821,502.0283670610342,37.19092922386542,2.539202776883289,884
monday,baseline,5,1018.3292431926277,20.340838594149027,0.0,0
monday,early_monday,5,1018.3292431926275,20.340838594149012,-1.8189894035458566e-13,0
monday,holiday_mean50,5,791.1831170778762,17.645697608138796,-227.1461261147515,2
monday,holiday_sun_mon,5,1012.2268067656132,20.219873781498727,-6.102436427014527,2
monday,monday_mean25,5,749.2254248016874,13.646637366474106,-269.10381839094026,4
monday,monday_mean50,5,776.8867678715271,16.427303851719195,-241.4424753211005,3
monday,monday_median50,5,755.0234345381939,16.102237643325733,-263.3058086544337,3
monday,monday_rank_interaction,5,1023.2063016853481,20.961794015043562,4.877058492720335,3
monday,pooled_holiday_nights,5,1580.0585077121336,32.4927289422208,561.729264519506,0
other,baseline,1816,498.060639837817,37.20958956810697,0.0,0
other,early_monday,1816,498.0606398378148,37.209589568107056,-2.200190103528782e-12,0
other,holiday_mean50,1816,498.060639837817,37.20958956810697,0.0,0
other,holiday_sun_mon,1816,497.229775665536,37.12193561364963,-0.8308641722809897,363
other,monday_mean25,1816,498.060639837817,37.20958956810697,0.0,0
other,monday_mean50,1816,498.060639837817,37.20958956810697,0.0,0
other,monday_median50,1816,498.060639837817,37.20958956810697,0.0,0
other,monday_rank_interaction,1816,497.82249123069414,37.20846929525366,-0.23814860712283306,935
other,pooled_holiday_nights,1816,499.06022240065124,37.203864797328094,0.9995825628342175,884
holiday_nights,baseline,10,1083.705479466033,17.261295047571743,0.0,0
holiday_nights,early_monday,10,1083.7054794659766,17.261295047570997,-5.652509571518749e-11,0
holiday_nights,holiday_mean50,10,970.132416408657,15.913724554566622,-113.57306305737575,2
holiday_nights,holiday_sun_mon,10,888.2097858029516,15.217366053163744,-195.49569366308143,4
holiday_nights,monday_mean25,10,949.1535702705629,13.91419443373428,-134.55190919547013,4
holiday_nights,monday_mean50,10,962.9842418054826,15.304527676356823,-120.72123766055024,3
holiday_nights,monday_median50,10,952.0525751388161,15.141994572160096,-131.65290432721685,3
holiday_nights,monday_rank_interaction,10,1094.93707966016,17.67297301666546,11.23160019412694,5
holiday_nights,pooled_holiday_nights,10,1565.8645935931925,25.8431936269313,482.15911412715957,1
