variant,delta_ci05_000s,delta_ci95_000s
baseline,0.0,0.0
early_monday,-2.255546860396862e-11,1.5279510989785195e-11
holiday_mean50,-734.1975648406599,254.13789969978424
holiday_sun_mon,-12.20487285399813,-3.774403012357652e-11
monday_mean25,-429.64820520835656,-108.55943157352394
monday_mean50,-508.8781769229883,25.993226280787347
monday_median50,-636.3475793202757,91.91809038893516
monday_rank_interaction,-99.17985740143513,108.9339743868758
pooled_holiday_nights,388.3050086469755,709.1438025617456
