scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s,mae_improvement_pct
all,current,1821,465.77049855489776,35.65230128705063,22.561928209255147,44.97528830313015,63.70126304228446,17.627677100494235,-136.26777419827985,0.0
all,fox_friday_night,1821,464.98323103296394,35.6226590855278,22.519726903912296,45.03020318506315,63.59143327841845,17.57276221856123,-136.85945231612715,0.16902477172263675
all,past_selected,1821,465.77049855489776,35.65230128705063,22.561928209255147,44.97528830313015,63.70126304228446,17.627677100494235,-136.26777419827985,0.0
major,current,987,741.8888019410412,23.086995638911645,19.07748630204638,52.988855116514685,72.44174265450862,8.915906788247213,-241.48013697749315,0.0
major,fox_friday_night,987,740.468803755738,23.04121359134063,18.930084637686495,52.988855116514685,72.3404255319149,8.814589665653495,-242.48821444242228,0.19140310267360405
major,past_selected,987,741.8888019410412,23.086995638911645,19.07748630204638,52.988855116514685,72.44174265450862,8.915906788247213,-241.48013697749315,0.0
FOX,current,205,909.9113318050314,25.97578329515055,21.443758474084937,47.80487804878049,67.8048780487805,12.195121951219512,-255.93508862213886,0.0
FOX,fox_friday_night,205,905.435406058209,25.794243694510875,21.55538758332914,47.80487804878049,67.8048780487805,11.707317073170733,-261.1520869345078,0.49190790249236116
FOX,past_selected,205,909.9113318050314,25.97578329515055,21.443758474084937,47.80487804878049,67.8048780487805,12.195121951219512,-255.93508862213886,0.0
target,current,13,794.9184888204218,35.57699203260545,29.64095280904066,38.46153846153847,53.84615384615385,38.46153846153847,730.7337273894017,0.0
target,fox_friday_night,13,729.317146379861,32.57204354111281,24.798178314525746,38.46153846153847,53.84615384615385,30.76923076923077,620.3044493675227,8.252587323501114
target,past_selected,13,794.9184888204218,35.57699203260545,29.64095280904066,38.46153846153847,53.84615384615385,38.46153846153847,730.7337273894017,0.0
target_2025,current,4,732.5787422064146,29.45983194217808,24.6381702824374,50.0,75.0,25.0,553.8609497165959,0.0
target_2025,fox_friday_night,4,519.3743792745929,19.693749344826983,17.894337782118775,50.0,75.0,0.0,194.96579614548938,29.10326912977067
target_2025,past_selected,4,732.5787422064146,29.45983194217808,24.6381702824374,50.0,75.0,25.0,553.8609497165959,0.0
major_2024_2025,current,419,725.3778139531103,23.418588059376646,19.07748630204638,52.50596658711218,71.36038186157518,9.307875894988067,-205.42821807896553,0.0
major_2024_2025,fox_friday_night,419,722.0328540273482,23.310743474764255,18.69821952304687,52.50596658711218,71.1217183770883,9.069212410501192,-207.80285401663863,0.4611334757445795
major_2024_2025,past_selected,419,725.3778139531103,23.418588059376646,19.07748630204638,52.50596658711218,71.36038186157518,9.307875894988067,-205.42821807896553,0.0
week1_major,current,74,817.9066621212617,23.99346752529625,18.391585038315085,55.4054054054054,68.91891891891892,13.513513513513514,-368.3051901544083,0.0
week1_major,fox_friday_night,74,818.8039970438383,23.993804625101337,18.46109106002882,55.4054054054054,68.91891891891892,13.513513513513514,-370.4382446015854,-0.10971116438267536
week1_major,past_selected,74,817.9066621212617,23.99346752529625,18.391585038315085,55.4054054054054,68.91891891891892,13.513513513513514,-368.3051901544083,0.0
