scope,year,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
all,2021,current,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2021,fox_friday_night,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2021,past_selected,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2022,current,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,2022,fox_friday_night,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,2022,past_selected,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,2023,current,393,473.47730456613203,47.61423433039883,23.93293134690868,41.73027989821883,61.57760814249363,21.882951653944023,-170.37103353254517
all,2023,fox_friday_night,393,473.47730456613203,47.61423433039883,23.93293134690868,41.73027989821883,61.57760814249363,21.882951653944023,-170.37103353254517
all,2023,past_selected,393,473.47730456613203,47.61423433039883,23.93293134690868,41.73027989821883,61.57760814249363,21.882951653944023,-170.37103353254517
all,2024,current,405,408.1369589726557,39.636299252113815,22.8432407779073,44.19753086419753,59.75308641975309,21.728395061728396,-27.289892965998863
all,2024,fox_friday_night,405,408.1369589726557,39.636299252113815,22.8432407779073,44.19753086419753,59.75308641975309,21.728395061728396,-27.289892965998863
all,2024,past_selected,405,408.1369589726557,39.636299252113815,22.8432407779073,44.19753086419753,59.75308641975309,21.728395061728396,-27.289892965998863
all,2025,current,355,498.8783511513856,31.275179069330736,21.41905874258605,46.19718309859155,65.07042253521126,15.492957746478872,-215.87926711889466
all,2025,fox_friday_night,355,494.8400014121133,31.123127100392466,21.55538758332914,46.478873239436616,64.50704225352113,15.211267605633802,-218.9143258586129
all,2025,past_selected,355,498.8783511513856,31.275179069330736,21.41905874258605,46.19718309859155,65.07042253521126,15.492957746478872,-215.87926711889466
major,2021,current,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
major,2021,fox_friday_night,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
major,2021,past_selected,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
major,2022,current,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
major,2022,fox_friday_night,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
major,2022,past_selected,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
major,2023,current,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
major,2023,fox_friday_night,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
major,2023,past_selected,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
major,2024,current,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major,2024,fox_friday_night,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major,2024,past_selected,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major,2025,current,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
major,2025,fox_friday_night,203,780.1793723408495,22.97319254296547,18.69821952304687,52.70935960591133,71.92118226600985,7.389162561576355,-359.76640825219795
major,2025,past_selected,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
FOX,2021,current,39,847.404746162204,25.232858033062325,21.443758474084937,48.717948717948715,69.23076923076923,10.256410256410255,-260.5446742968201
FOX,2021,fox_friday_night,39,847.404746162204,25.232858033062325,21.443758474084937,48.717948717948715,69.23076923076923,10.256410256410255,-260.5446742968201
FOX,2021,past_selected,39,847.404746162204,25.232858033062325,21.443758474084937,48.717948717948715,69.23076923076923,10.256410256410255,-260.5446742968201
FOX,2022,current,39,973.0156372628696,24.456696147578224,19.665346798115536,53.84615384615385,71.7948717948718,7.6923076923076925,-399.4610061003023
FOX,2022,fox_friday_night,39,973.0156372628696,24.456696147578224,19.665346798115536,53.84615384615385,71.7948717948718,7.6923076923076925,-399.4610061003023
FOX,2022,past_selected,39,973.0156372628696,24.456696147578224,19.665346798115536,53.84615384615385,71.7948717948718,7.6923076923076925,-399.4610061003023
FOX,2023,current,43,1010.9243571772411,26.52648921584234,20.871506571741165,48.837209302325576,67.44186046511628,13.953488372093023,-316.31710807553327
FOX,2023,fox_friday_night,43,1010.9243571772411,26.52648921584234,20.871506571741165,48.837209302325576,67.44186046511628,13.953488372093023,-316.31710807553327
FOX,2023,past_selected,43,1010.9243571772411,26.52648921584234,20.871506571741165,48.837209302325576,67.44186046511628,13.953488372093023,-316.31710807553327
FOX,2024,current,50,690.392416826754,29.003704450209984,23.68446983177133,44.0,64.0,20.0,304.96396061925356
FOX,2024,fox_friday_night,50,690.392416826754,29.003704450209984,23.68446983177133,44.0,64.0,20.0,304.96396061925356
FOX,2024,past_selected,50,690.392416826754,29.003704450209984,23.68446983177133,44.0,64.0,20.0,304.96396061925356
FOX,2025,current,34,1104.2958784263083,23.421138343210636,23.67771116562105,44.11764705882353,67.64705882352942,5.88235294117647,-834.5010004636898
FOX,2025,fox_friday_night,34,1077.3086790704672,22.326561339353784,22.85537997959169,44.11764705882353,67.64705882352942,2.941176470588235,-865.9564314647376
FOX,2025,past_selected,34,1104.2958784263083,23.421138343210636,23.67771116562105,44.11764705882353,67.64705882352942,5.88235294117647,-834.5010004636898
target,2024,current,9,822.6250428710915,38.295729850573174,46.50754453233449,33.33333333333333,44.44444444444444,44.44444444444444,809.3438507995376
target,2024,fox_friday_night,9,822.6250428710915,38.295729850573174,46.50754453233449,33.33333333333333,44.44444444444444,44.44444444444444,809.3438507995376
target,2024,past_selected,9,822.6250428710915,38.295729850573174,46.50754453233449,33.33333333333333,44.44444444444444,44.44444444444444,809.3438507995376
target,2025,current,4,732.5787422064146,29.45983194217808,24.6381702824374,50.0,75.0,25.0,553.8609497165959
target,2025,fox_friday_night,4,519.3743792745929,19.693749344826983,17.894337782118775,50.0,75.0,0.0,194.96579614548938
target,2025,past_selected,4,732.5787422064146,29.45983194217808,24.6381702824374,50.0,75.0,25.0,553.8609497165959
target_2025,2025,current,4,732.5787422064146,29.45983194217808,24.6381702824374,50.0,75.0,25.0,553.8609497165959
target_2025,2025,fox_friday_night,4,519.3743792745929,19.693749344826983,17.894337782118775,50.0,75.0,0.0,194.96579614548938
target_2025,2025,past_selected,4,732.5787422064146,29.45983194217808,24.6381702824374,50.0,75.0,25.0,553.8609497165959
major_2024_2025,2024,current,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major_2024_2025,2024,fox_friday_night,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major_2024_2025,2024,past_selected,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major_2024_2025,2025,current,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
major_2024_2025,2025,fox_friday_night,203,780.1793723408495,22.97319254296547,18.69821952304687,52.70935960591133,71.92118226600985,7.389162561576355,-359.76640825219795
major_2024_2025,2025,past_selected,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
week1_major,2021,current,17,672.986591655507,22.222425729477013,19.47472495281779,52.94117647058824,82.35294117647058,5.88235294117647,-495.25490848069484
week1_major,2021,fox_friday_night,17,672.986591655507,22.222425729477013,19.47472495281779,52.94117647058824,82.35294117647058,5.88235294117647,-495.25490848069484
week1_major,2021,past_selected,17,672.986591655507,22.222425729477013,19.47472495281779,52.94117647058824,82.35294117647058,5.88235294117647,-495.25490848069484
week1_major,2022,current,14,1082.9835577839262,33.625378485250536,33.86452705900577,21.428571428571427,35.714285714285715,21.428571428571427,113.66473177176815
week1_major,2022,fox_friday_night,14,1082.9835577839262,33.625378485250536,33.86452705900577,21.428571428571427,35.714285714285715,21.428571428571427,113.66473177176815
week1_major,2022,past_selected,14,1082.9835577839262,33.625378485250536,33.86452705900577,21.428571428571427,35.714285714285715,21.428571428571427,113.66473177176815
week1_major,2023,current,10,909.5878724538888,26.669258153195166,15.103534681599953,60.0,70.0,30.0,-326.9748740648391
week1_major,2023,fox_friday_night,10,909.5878724538888,26.669258153195166,15.103534681599953,60.0,70.0,30.0,-326.9748740648391
week1_major,2023,past_selected,10,909.5878724538888,26.669258153195166,15.103534681599953,60.0,70.0,30.0,-326.9748740648391
week1_major,2024,current,17,515.5555758058177,16.536661298269166,12.335635458055902,76.47058823529412,82.35294117647058,0.0,-219.63079688484035
week1_major,2024,fox_friday_night,17,515.5555758058177,16.536661298269166,12.335635458055902,76.47058823529412,82.35294117647058,0.0,-219.63079688484035
week1_major,2024,past_selected,17,515.5555758058177,16.536661298269166,12.335635458055902,76.47058823529412,82.35294117647058,0.0,-219.63079688484035
week1_major,2025,current,16,1003.889226038561,23.697764817173642,16.05227461436414,62.5,68.75,18.75,-838.9427865230298
week1_major,2025,fox_friday_night,16,1008.0394000554794,23.699323903772175,16.06533124597698,62.5,68.75,18.75,-848.8081633412239
week1_major,2025,past_selected,16,1003.889226038561,23.697764817173642,16.05227461436414,62.5,68.75,18.75,-838.9427865230298
