year,variant,component,feature,status,training_games
2024,week1_major_days,primary,Week1Major_Monday,redundant,5
2024,week1_major_days,exact_network,Week1Major_Weekday,estimated,10
2024,week1_major_days,exact_network,Week1Major_Friday,estimated,7
2024,week1_major_days,exact_network,Week1Major_Saturday,estimated,39
2024,week1_major_days,exact_network,Week1Major_Sunday,estimated,6
2024,week1_major_days,exact_network,Week1Major_Monday,redundant,5
2024,week1_major_days_shrink10,primary,Week1Major_Weekday,estimated,10
2024,week1_major_days_shrink10,primary,Week1Major_Friday,estimated,7
2024,week1_major_days_shrink10,primary,Week1Major_Saturday,estimated,39
2024,week1_major_days_shrink10,primary,Week1Major_Sunday,estimated,6
2024,week1_major_days_shrink10,primary,Week1Major_Monday,redundant,5
2024,week1_major_days_shrink10,exact_network,Week1Major_Weekday,estimated,10
2024,week1_major_days_shrink10,exact_network,Week1Major_Friday,estimated,7
2024,week1_major_days_shrink10,exact_network,Week1Major_Saturday,estimated,39
2024,week1_major_days_shrink10,exact_network,Week1Major_Sunday,estimated,6
2024,week1_major_days_shrink10,exact_network,Week1Major_Monday,redundant,5
2025,week1_major_days,primary,Week1Major_Weekday,estimated,11
2025,week1_major_days,primary,Week1Major_Friday,estimated,9
2025,week1_major_days,primary,Week1Major_Saturday,estimated,51
2025,week1_major_days,primary,Week1Major_Sunday,estimated,7
2025,week1_major_days,primary,Week1Major_Monday,redundant,6
2025,week1_major_days,exact_network,Week1Major_Weekday,estimated,11
2025,week1_major_days,exact_network,Week1Major_Friday,estimated,9
2025,week1_major_days,exact_network,Week1Major_Saturday,estimated,51
2025,week1_major_days,exact_network,Week1Major_Sunday,estimated,7
2025,week1_major_days,exact_network,Week1Major_Monday,redundant,6
2025,week1_major_days_shrink10,primary,Week1Major_Weekday,estimated,11
2025,week1_major_days_shrink10,primary,Week1Major_Friday,estimated,9
2025,week1_major_days_shrink10,primary,Week1Major_Saturday,estimated,51
2025,week1_major_days_shrink10,primary,Week1Major_Sunday,estimated,7
2025,week1_major_days_shrink10,primary,Week1Major_Monday,redundant,6
2025,week1_major_days_shrink10,exact_network,Week1Major_Weekday,estimated,11
2025,week1_major_days_shrink10,exact_network,Week1Major_Friday,estimated,9
2025,week1_major_days_shrink10,exact_network,Week1Major_Saturday,estimated,51
2025,week1_major_days_shrink10,exact_network,Week1Major_Sunday,estimated,7
2025,week1_major_days_shrink10,exact_network,Week1Major_Monday,redundant,6
