scope,variant,year,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
all,current,2021,325,551.0674872569773,34.24011942987702,22.14086932442209,42.769230769230774,61.846153846153854,18.76923076923077,23.29451801780474
all,current,2022,343,462.69726485000064,28.002571141525273,21.379219322326623,47.521865889212826,65.88921282798835,13.702623906705538,-120.65998756038951
all,current,2023,393,484.3789548023433,47.89184736278545,23.877220875372174,40.458015267175576,60.55979643765903,22.391857506361323,-185.73594092306212
all,current,2024,405,413.46140351365045,40.18885336140825,23.29394399323394,42.96296296296296,59.75308641975309,22.962962962962962,-20.233254229291788
all,current,2025,355,510.8459736759125,31.372448576562324,22.53703741114249,45.07042253521127,65.63380281690141,14.647887323943662,-235.01702137587253
all,week1_major_days,2021,325,544.8022527907674,34.05583611182327,22.41408342495768,43.38461538461538,62.46153846153846,18.461538461538463,20.765287709270424
all,week1_major_days,2022,343,462.1802234327239,27.99828794589914,21.436519752475736,47.23032069970846,65.59766763848397,13.119533527696792,-118.23508564981266
all,week1_major_days,2023,393,483.7924586899066,47.91311749134587,23.937543515264068,39.94910941475827,60.81424936386769,22.391857506361323,-183.80412666758917
all,week1_major_days,2024,405,412.17413350600793,40.172742797371605,23.27739446014884,42.96296296296296,59.75308641975309,22.962962962962962,-19.223446879643983
all,week1_major_days,2025,355,508.14821577275757,31.33330365614821,22.53703741114249,45.07042253521127,65.91549295774648,14.647887323943662,-229.68087168806437
all,week1_major_days_shrink10,2021,325,549.8815059455577,34.187739917244095,22.41408342495768,42.769230769230774,62.153846153846146,18.461538461538463,22.5431189415574
all,week1_major_days_shrink10,2022,343,462.48939062591955,27.997117684563687,21.436519752475736,47.23032069970846,65.88921282798835,13.411078717201166,-120.20724433013613
all,week1_major_days_shrink10,2023,393,484.5538218961582,47.915863962747075,23.877220875372174,40.20356234096692,60.55979643765903,22.391857506361323,-185.14276790141594
all,week1_major_days_shrink10,2024,405,413.8088493102944,40.20066119740302,23.29394399323394,42.96296296296296,59.75308641975309,22.962962962962962,-20.81188909156119
all,week1_major_days_shrink10,2025,355,510.1154681666454,31.3629059995423,22.472259057767943,45.07042253521127,65.63380281690141,14.647887323943662,-233.82768121647968
major,current,2021,186,834.0244338351154,28.519583559023417,20.833574362675918,46.236559139784944,66.66666666666666,16.666666666666664,16.695176458024076
major,current,2022,180,725.7704389744175,20.909237763259938,16.641669538090134,55.55555555555556,73.33333333333333,8.333333333333332,-178.99431331110733
major,current,2023,202,807.1815986693833,22.91593456188667,19.058137545719234,51.98019801980198,72.27722772277228,8.415841584158416,-379.920220911785
major,current,2024,216,677.1944491829641,24.43305571093033,18.981012923753987,51.388888888888886,68.51851851851852,12.5,-51.41553647039114
major,current,2025,203,809.5897727849022,23.630939104225778,19.755819218115814,50.24630541871922,72.9064039408867,8.866995073891626,-385.41867109019347
major,week1_major_days,2021,186,823.0771155473831,28.19758313769294,20.757813314232763,47.31182795698925,67.74193548387096,16.129032258064516,12.275822424294768
major,week1_major_days,2022,180,724.7851878292736,20.90107589603903,16.641669538090134,55.00000000000001,72.77777777777777,7.222222222222221,-174.37352800373034
major,week1_major_days,2023,202,806.0405443516229,22.957316544679962,19.350002729863448,50.99009900990099,72.77227722772277,8.415841584158416,-376.1617902068301
major,week1_major_days,2024,216,674.7808179186344,24.40284840336162,18.981012923753987,51.388888888888886,68.51851851851852,12.5,-49.522147689801486
major,week1_major_days,2025,203,804.8720188163306,23.562483701531146,19.755819218115814,50.24630541871922,73.39901477832512,8.866995073891626,-376.0869807494452
major,week1_major_days_shrink10,2021,186,831.9521546619361,28.428060217057286,20.833574362675918,46.236559139784944,67.20430107526882,16.129032258064516,15.382247964581152
major,week1_major_days_shrink10,2022,180,725.374323091863,20.898845898049807,16.641669538090134,55.00000000000001,73.33333333333333,7.777777777777778,-178.13158593345787
major,week1_major_days_shrink10,2023,202,807.5218103915086,22.962659927158548,19.187220299053735,51.48514851485149,72.27722772277228,8.415841584158416,-378.7661763696714
major,week1_major_days_shrink10,2024,216,677.8459100516717,24.45519540342053,18.994031195297406,51.388888888888886,68.51851851851852,12.5,-52.50047683714626
major,week1_major_days_shrink10,2025,203,808.3122877810114,23.61425134638288,19.755819218115814,50.24630541871922,72.9064039408867,8.866995073891626,-383.3387905158858
opening,current,2021,28,707.4446237768796,51.24807468375745,34.0519127135076,25.0,46.42857142857143,35.714285714285715,195.47608533955957
opening,current,2022,32,555.8626525006089,32.68052460597907,28.293377996449166,34.375,56.25,21.875,-23.011833983514236
opening,current,2023,14,799.1002634133596,33.56456367404311,19.225073839369724,50.0,71.42857142857143,21.428571428571427,-475.53170451657735
opening,current,2024,29,410.0211868823376,28.581741378520505,18.393864113694054,51.724137931034484,65.51724137931035,13.793103448275861,-207.79704041501952
opening,current,2025,19,974.2171126992337,29.326030340522422,22.99742435737497,47.368421052631575,57.89473684210527,21.052631578947366,-860.8696886910037
opening,week1_major_days,2021,28,634.7231522940871,49.10907188491931,27.927904981956388,32.142857142857146,53.57142857142857,32.142857142857146,166.11894782978624
opening,week1_major_days,2022,32,550.3206148091742,32.634614102861434,29.324983781947893,31.25,53.125,15.625,2.980083370481374
opening,week1_major_days,2023,14,782.6364796856727,34.1616465686321,22.21750776499561,35.714285714285715,78.57142857142857,21.428571428571427,-421.3029186308001
opening,week1_major_days,2024,29,392.04379539629576,28.356749018698377,18.287262001556208,51.724137931034484,65.51724137931035,13.793103448275861,-193.6945584630415
opening,week1_major_days,2025,19,923.8116360876545,28.594638406469254,22.727131048908433,47.368421052631575,63.1578947368421,21.052631578947366,-761.1679445240619
opening,week1_major_days_shrink10,2021,28,693.6787692693314,50.64009819783962,31.819461541803847,25.0,50.0,32.142857142857146,186.75448891883153
opening,week1_major_days_shrink10,2022,32,553.6345006612398,32.622070364172075,28.537305521021864,31.25,56.25,18.75,-18.158992484236002
opening,week1_major_days_shrink10,2023,14,804.0090325468788,34.238743944394635,21.352868549040853,42.857142857142854,71.42857142857143,21.428571428571427,-458.8804904089378
opening,week1_major_days_shrink10,2024,29,414.8734471458143,28.746643915688885,18.88468415288853,51.724137931034484,65.51724137931035,13.793103448275861,-215.87797556050603
opening,week1_major_days_shrink10,2025,19,960.5681939734532,29.147734822516675,20.801695644405385,47.368421052631575,57.89473684210527,21.052631578947366,-838.6478067655058
major_week1,current,2021,17,850.8128009799466,32.29559786045145,21.584847555918397,41.17647058823529,70.58823529411765,23.52941176470588,15.719509851097053
major_week1,current,2022,14,1040.5842958936103,32.98397822084103,28.902266272670097,28.57142857142857,57.14285714285714,28.57142857142857,35.98849388389356
major_week1,current,2023,10,990.5016272561928,25.818146473163488,15.088959318091362,60.0,70.0,20.0,-584.2926706343649
major_week1,current,2024,17,519.4880592530379,17.213261687126664,14.07072869451054,64.70588235294117,76.47058823529412,0.0,-256.0086474299213
major_week1,current,2025,16,1145.538295347432,25.946758575907076,19.25376843686371,50.0,62.5,18.75,-1024.229402977505
major_week1,week1_major_days,2021,17,731.0362597141703,28.772534427070973,16.165908172871294,52.94117647058824,82.35294117647058,17.647058823529413,-32.63342251794132
major_week1,week1_major_days,2022,14,1027.9167811703312,32.87903992800072,30.245959594458316,21.428571428571427,50.0,14.285714285714285,95.3985906930264
major_week1,week1_major_days,2023,10,967.4523300374312,26.654062525588085,21.77604160727521,40.0,80.0,20.0,-508.3723703942768
major_week1,week1_major_days,2024,17,488.82074436508424,16.82945119095951,15.75581304383873,64.70588235294117,76.47058823529412,0.0,-231.95147233537065
major_week1,week1_major_days,2025,16,1085.6817918711818,25.078230654218945,19.53698927023568,50.0,68.75,18.75,-905.8335817792616
