scope,variant,delta_mae_000s,date_ci025,date_ci975,year_ci025,year_ci975
all,bignoon,-6.136702414520582,-13.410968244604959,1.139540700027715,-17.652438744594015,3.9507839837726206
all,both,-3.0897958333671256,-14.150157321374053,8.330061583246035,-11.619202803756863,5.055032400837571
all,gameday,-1.3214672098476448,-9.603952843606962,7.204419152743122,-6.954581335672241,6.32079836936763
all,past_selected,-1.4032748818066711,-6.6432282599644665,3.996609256440917,-6.191655426870453,5.208092001834325
major,bignoon,-11.775671069975127,-24.621515064322413,0.8699379329274747,-31.725051354481955,7.044735668934237
major,both,-5.8495767110046355,-26.89669768180474,14.391896020698686,-21.56472949018063,9.001700511831755
major,gameday,-1.8723697926578837,-17.34613251300953,13.931871922380493,-11.587700576150864,11.854927852689883
major,past_selected,-3.0620978607213023,-12.623191290864945,6.407702225909313,-12.177507407381976,9.428554700668549
FOX,bignoon,-51.5202223114899,-111.3249032616821,4.794137311621822,-139.39632413965273,27.512343290798686
FOX,both,-34.00483366905948,-99.2220442492175,30.259622590392585,-88.47106759183886,42.464815391183194
FOX,gameday,-4.789881892443472,-41.156157612087846,30.65879312202744,-27.28305850508685,16.82507811958254
FOX,past_selected,-14.353247587628873,-56.7679687147818,27.48267781137162,-60.55111650205797,37.54947623285416
target,bignoon,-74.0259852369238,-170.13202119099356,20.33824593663296,-222.88563302205253,74.53284292901952
target,both,-128.9529748303694,-263.47413900841724,2.8317444502836016,-247.4922078178397,20.127848608671652
target,gameday,-85.72317318080016,-173.85425615749992,4.576026518290622,-130.8169399601203,-44.724249430913424
target,past_selected,-14.87466048979316,-90.46094011638176,56.09400653747777,-103.21976135811786,93.95420343297312
gameday_games,bignoon,-83.35162383102976,-173.7026303780412,-1.699307398740132,-191.8481608808235,12.495350876661632
gameday_games,both,-215.9163612146083,-394.5991052841335,-36.03645543695518,-396.507613752879,-54.33471420668177
gameday_games,gameday,-218.49823496933993,-370.87689027010794,-66.7071163855769,-324.74977364905965,-125.20776090891096
gameday_games,past_selected,-33.886915127316854,-106.76105589162604,31.62816773407504,-126.91655330973575,32.58401211248175
bignoon_games,bignoon,-148.04703073149687,-319.8121643953022,18.988097097799045,-407.3384130749182,116.76201636500204
bignoon_games,both,-99.69804662190984,-303.3022282216232,91.0099707736724,-265.6186784209482,186.19351696670634
bignoon_games,gameday,-25.88045803369667,-131.90815612107352,73.41715537096115,-90.7876010798071,55.53776505785464
bignoon_games,past_selected,-43.97669059313911,-169.28867429875817,83.42704325355568,-190.89566689886223,154.91641715137106
major_2024_2025,bignoon,4.0208251722094435,-9.234508743253935,17.24794148007048,-11.633581239226638,18.733068234809092
major_2024_2025,both,14.37725727863986,-14.333176564951163,42.604326633170075,12.160242094511124,16.460840993353443
major_2024_2025,gameday,10.467832995810795,-13.423542576039372,36.36482220969348,-3.0543840774280877,24.85600485699109
major_2024_2025,past_selected,4.0208251722094435,-9.234508743253935,17.24794148007048,-11.633581239226638,18.733068234809092
week1_major,bignoon,-18.840165145839233,-68.8090583147986,35.37748939601335,-69.7003882129682,14.936444626759153
week1_major,both,32.87739166616844,-34.2444722586152,102.3821698738022,-47.94252589555705,93.15283067544483
week1_major,gameday,47.73367788289422,11.727772352950733,87.78561136705757,19.138582891662175,85.58377969631437
week1_major,past_selected,6.382496075900083,-29.557087329052482,49.8887223673518,-1.1369508947859048,14.936444626759153
