scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s,mae_improvement_pct
all,bignoon,1821,458.84652861844336,35.68951627123764,22.195040399920806,45.35969247666117,62.712795167490384,17.847336628226248,-116.36944692067271,1.3197685432414064
all,both,1821,461.8934351995968,35.68631129132416,22.32658522191138,45.14003294892916,62.822624931356394,17.847336628226248,-121.8334034564513,0.6644961854867626
all,current,1821,464.98323103296394,35.6226590855278,22.519726903912296,45.03020318506315,63.59143327841845,17.57276221856123,-136.85945231612715,0.0
all,gameday,1821,463.6617638231163,35.62127944417093,22.48161623320331,44.70071389346513,63.37177375068643,17.517847336628225,-139.05112838670254,0.28419674552822016
all,past_selected,1821,463.57995615115726,35.757190010441434,22.30477528766616,45.24986271279517,62.65788028555739,17.792421746293247,-124.57051862020226,0.3017904277298977
major,bignoon,987,728.6931326857627,22.976437440213676,18.426254589928515,53.49544072948328,71.42857142857143,9.422492401215806,-204.60453257261244,1.5902994171054563
major,both,987,734.6192270447333,22.998619570648977,18.91029015773487,52.88753799392097,71.52988855116514,9.219858156028367,-214.26349826271758,0.7899828704916456
major,current,987,740.468803755738,23.04121359134063,18.930084637686495,52.988855116514685,72.3404255319149,8.814589665653495,-242.48821444242228,0.0
major,gameday,987,738.59643396308,23.052162350312777,19.211688740336985,51.874366767983794,72.03647416413374,8.713272543059777,-246.7649836280306,0.2528627517001558
major,past_selected,987,737.4067058950167,23.088631464043004,18.830179903817502,53.09017223910841,71.42857142857143,9.321175278622087,-219.83498129930285,0.4135350260794257
FOX,bignoon,205,853.9151837467191,25.419192476487066,19.535611470942886,50.24390243902439,65.85365853658537,12.682926829268293,-68.79132266361289,5.6901046686236745
FOX,both,205,871.4305723891497,25.560148542177565,20.766010924193587,49.26829268292683,65.85365853658537,13.170731707317074,-39.13541802814791,3.7556333054279967
FOX,current,205,905.435406058209,25.794243694510875,21.55538758332914,47.80487804878049,67.8048780487805,11.707317073170733,-261.1520869345078,0.0
FOX,gameday,205,900.6455241657656,25.91974828685519,21.63032349796848,45.36585365853659,66.82926829268293,10.731707317073171,-250.3705620669844,0.5290142024924838
FOX,past_selected,205,891.08215847058,25.932624947436363,21.265007828826683,47.80487804878049,65.85365853658537,12.682926829268293,-148.04655852393623,1.5852315351920554
target,bignoon,130,1547.4626364034582,24.87631815374049,20.41161774013625,49.23076923076923,68.46153846153847,12.307692307692308,-674.6537930831693,4.5653101877480395
target,both,130,1492.5356468100124,24.577261818705903,18.920443663624887,53.07692307692308,67.6923076923077,12.307692307692308,-342.8357968270881,7.952752372687877
target,current,130,1621.4886216403818,24.758816180696687,22.709895993964416,44.61538461538462,70.76923076923077,7.6923076923076925,-1018.5811749108684,0.0
target,gameday,130,1535.7654484595816,24.361333719760765,20.901302286553147,46.92307692307692,73.84615384615385,7.6923076923076925,-717.7479156508151,5.286695943267128
target,past_selected,130,1606.613961150589,25.61448363374205,21.586137166192135,46.15384615384615,68.46153846153847,12.307692307692308,-797.9890622835185,0.9173459678517459
gameday_games,bignoon,72,1820.136829408628,24.95151940987067,21.97705670513279,44.44444444444444,72.22222222222221,9.722222222222223,-1208.2131337929645,4.378887809335996
gameday_games,both,72,1687.5720920250496,24.099233516377403,19.336433004630774,51.388888888888886,70.83333333333334,8.333333333333332,-525.2037783104646,11.343192591850372
gameday_games,current,72,1903.4884532396577,25.74867529158449,22.49812565992371,44.44444444444444,68.05555555555556,8.333333333333332,-1298.5437509652318,0.0
gameday_games,gameday,72,1684.990218270318,24.287086587121443,18.37989304564924,51.388888888888886,75.0,8.333333333333332,-648.1678244294766,11.478831647098497
gameday_games,past_selected,72,1869.601538112341,25.463764505814723,22.332101362404238,43.05555555555556,72.22222222222221,9.722222222222223,-1272.7494373873365,1.78025325394765
bignoon_games,bignoon,71,1381.3612485119222,23.773310353671633,17.80274654353297,54.929577464788736,69.01408450704226,14.084507042253522,-294.02339297226274,9.68002022355563
bignoon_games,both,71,1429.7102326215097,24.303198891370492,17.364634103248445,56.33802816901409,66.19718309859155,15.492957746478872,-183.12033503875264,6.518733288878831
bignoon_games,current,71,1529.4082792434194,23.56677978096833,22.570761349016912,46.478873239436616,74.64788732394366,7.042253521126761,-983.1744319882351,0.0
bignoon_games,gameday,71,1503.527821209723,23.56897382849249,21.940174614089354,45.07042253521127,76.05633802816901,7.042253521126761,-945.66187028562,1.6921876509324973
bignoon_games,past_selected,71,1485.4315886502802,25.077191455945485,20.362136701904973,49.29577464788733,69.01408450704226,14.084507042253522,-526.4482656100685,2.875405553244026
major_2024_2025,bignoon,419,726.0536791995576,23.425565306363392,18.554088918677817,53.699284009546545,69.92840095465394,9.307875894988067,-194.4022353550122,-0.5568756532035923
major_2024_2025,both,419,736.410111305988,23.54895821081134,18.91029015773487,53.699284009546545,69.4510739856802,9.54653937947494,-215.22801094636762,-1.9912192635621162
major_2024_2025,current,419,722.0328540273482,23.310743474764255,18.69821952304687,52.50596658711218,71.1217183770883,9.069212410501192,-207.80285401663863,0.0
major_2024_2025,gameday,419,732.500687023159,23.492422133911845,19.089850658560984,52.02863961813843,70.64439140811456,8.83054892601432,-219.88654550824313,-1.4497723943479146
major_2024_2025,past_selected,419,726.0536791995576,23.425565306363392,18.554088918677817,53.699284009546545,69.92840095465394,9.307875894988067,-194.4022353550122,-0.5568756532035923
week1_major,bignoon,74,799.9638318979992,24.067749861635047,17.293470136805045,55.4054054054054,70.27027027027027,16.216216216216218,-319.5003702269944,2.3009371246181742
