source_index,Team 1,Team 2,Station,actual,pred,variant
2000016,Alabama,Kentucky,ABC,,5661.595736323874,bignoon
2000017,Arizona,BYU,FOX,,1765.1701539586563,bignoon
2000018,UCF,Pittsburgh,ESPN2,,558.5475970288164,bignoon
2000019,Mississippi St.,Minnesota,CBS,,1593.9096206711085,bignoon
2000020,UNLV,North Texas,ESPNU,,64.83904185948603,bignoon
2000021,Bowling Green,Nebraska,FS1,,457.4575979706012,bignoon
2000022,Tennessee,Georgia Tech,ESPN,,1719.1496163621184,bignoon
2000023,San Diego St.,UCLA,BTN,,306.8938016711502,bignoon
2000024,Western Illinois,Wisconsin,BTN,,307.1186171776378,bignoon
2000025,Ohio St.,Texas,ABC,,11607.99862655216,bignoon
2000026,Navy,FAU,ESPNU,,53.32036135199278,bignoon
2000027,Iowa St.,Iowa,NBC,,1832.1697854719246,bignoon
2000028,Texas Tech,Oregon St.,CBS,,1294.586743395064,bignoon
2000029,Charlotte,Mississippi,ESPN2,,344.84238073220945,bignoon
2000030,North Dakota State,Air Force,FS1,,177.75865477891688,bignoon
2000031,Arkansas,Utah,ESPN,,1625.8416191266572,bignoon
2000032,Montana State,Nevada,CW,,276.85197192021405,bignoon
2000033,Louisiana,USC,BTN,,541.1891012242035,bignoon
2000000,Richmond,North Carolina St.,ESPNU,,181.20864973888774,both
2000001,Rutgers,Boston College,ESPN2,,1012.2960802508703,both
2000002,Missouri,Kansas,FOX,,2589.615464934461,both
2000003,Howard,Indiana,BTN,,373.45699212678045,both
2000004,Old Dominion,Virginia Tech,CW,,405.8995149386002,both
2000005,Appalachian St.,East Carolina,ESPNU,,113.24762430130066,both
2000006,Arizona St.,Texas A&M,ABC,,2817.2441560970633,both
2000007,Oregon,Oklahoma St.,ESPN,,2103.704689227977,both
2000008,Wake Forest,Purdue,FS1,,344.4430804567993,both
2000009,Oklahoma,Michigan,FOX,,5609.8280351456815,both
2000010,Penn St.,Temple,ESPN2,,608.787466097704,both
2000011,UTSA,Texas St.,CW,,199.58967719798585,both
2000012,Rice,Notre Dame,NBC,,1500.0823668248481,both
2000013,Utah St.,Washington,BTN,,603.0086533212752,both
2000014,Eastern Michigan,Michigan St.,BTN,,468.01521568943826,both
2000015,Duke,Illinois,FS1,,501.8960065541607,both
