holdout_year,variant,feature,branch,component,coefficient,multiplier,train_matches,test_matches
2024,gameday,CollegeGameDayOnsite,week1,1,0.19064993514540207,1.2100357869286766,67,16
2024,bignoon,BigNoonKickoffOnsite,regular,0,0.17528334182545446,1.1915837943126213,47,15
2024,bignoon,BigNoonKickoffOnsite,regular,1,0.2510633077740678,1.2853914570273561,47,15
2024,bignoon,BigNoonKickoffOnsite,week1,0,0.17234452738754513,1.1880870912512813,47,15
2024,bignoon,BigNoonKickoffOnsite,week1,1,0.2461513700748148,1.279093175318254,47,15
2024,both,CollegeGameDayOnsite,regular,0,0.1690485856982098,1.1841776716253052,67,16
2024,both,BigNoonKickoffOnsite,regular,0,0.1734963490328597,1.1894563440956538,47,15
2024,both,CollegeGameDayOnsite,regular,1,0.189828548449003,1.2090422877105045,67,16
2024,both,BigNoonKickoffOnsite,regular,1,0.24734952762427942,1.2806266489507827,47,15
2024,both,CollegeGameDayOnsite,week1,0,0.1718520167699903,1.1875020898157944,67,16
2024,both,BigNoonKickoffOnsite,week1,0,0.17038075254415086,1.1857562450873094,47,15
2024,both,CollegeGameDayOnsite,week1,1,0.18826377451487153,1.2071518892622637,67,16
2024,both,BigNoonKickoffOnsite,week1,1,0.2431103935547272,1.275209391246146,47,15
2025,gameday,CollegeGameDayOnsite,regular,0,0.17016861642368736,1.185504730036318,83,15
2025,gameday,CollegeGameDayOnsite,regular,1,0.18373698737280658,1.2016997193282044,83,15
2025,gameday,CollegeGameDayOnsite,week1,0,0.17167793213626542,1.1872953819422958,83,15
2025,gameday,CollegeGameDayOnsite,week1,1,0.18268376801977365,1.2004347321986713,83,15
2025,bignoon,BigNoonKickoffOnsite,regular,0,0.11116555770950429,1.1175799155102308,62,14
2025,bignoon,BigNoonKickoffOnsite,regular,1,0.1764499764725933,1.1929747484619255,62,14
2025,bignoon,BigNoonKickoffOnsite,week1,0,0.11179346100689444,1.1182818679803492,62,14
2025,bignoon,BigNoonKickoffOnsite,week1,1,0.17560324350601347,1.191965044949057,62,14
2025,both,CollegeGameDayOnsite,regular,0,0.16859337374520988,1.1836387424675092,83,15
2025,both,BigNoonKickoffOnsite,regular,0,0.1076455416395184,1.113652931825757,62,14
2025,both,CollegeGameDayOnsite,regular,1,0.18028375436606614,1.1975571269781853,83,15
2025,both,BigNoonKickoffOnsite,regular,1,0.17079785327399033,1.186250928041686,62,14
2025,both,CollegeGameDayOnsite,week1,0,0.17013960005870943,1.1854703314974508,83,15
2025,both,BigNoonKickoffOnsite,week1,0,0.10833311144516003,1.114418909256945,62,14
2025,both,CollegeGameDayOnsite,week1,1,0.17956728554019902,1.1966994219256666,83,15
2025,both,BigNoonKickoffOnsite,week1,1,0.17048146036139467,1.1858756660237453,62,14
2026,gameday,CollegeGameDayOnsite,regular,0,0.15158149078222544,1.1636731265792903,98,1
2026,gameday,CollegeGameDayOnsite,regular,1,0.15112931179003034,1.1631470569854423,98,1
2026,gameday,CollegeGameDayOnsite,week1,0,0.15468106651891814,1.1672856152668103,98,1
2026,gameday,CollegeGameDayOnsite,week1,1,0.15244424968800777,1.1646775291489948,98,1
2026,bignoon,BigNoonKickoffOnsite,regular,0,0.11485085550011598,1.1217061287960606,76,1
2026,bignoon,BigNoonKickoffOnsite,regular,1,0.17224675122971808,1.1879709303393113,76,1
2026,bignoon,BigNoonKickoffOnsite,week1,0,0.11586096835912413,1.1228397510275934,76,1
2026,bignoon,BigNoonKickoffOnsite,week1,1,0.16951066549411023,1.184724982643063,76,1
2026,both,CollegeGameDayOnsite,regular,0,0.15185366667195335,1.1639898934540671,98,1
2026,both,BigNoonKickoffOnsite,regular,0,0.11536719978593396,1.1222854649016036,76,1
2026,both,CollegeGameDayOnsite,regular,1,0.15196861532525713,1.164123700215085,98,1
2026,both,BigNoonKickoffOnsite,regular,1,0.17342021749380024,1.1893657924004974,76,1
2026,both,CollegeGameDayOnsite,week1,0,0.1549699524825736,1.1676228764092973,98,1
2026,both,BigNoonKickoffOnsite,week1,0,0.11641637498932922,1.1234635568868914,76,1
2026,both,CollegeGameDayOnsite,week1,1,0.15348998128569336,1.1658961062835989,98,1
2026,both,BigNoonKickoffOnsite,week1,1,0.17101586570192226,1.186509573679602,76,1
