scope,year,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
all,2021,bignoon,325,475.1321017280153,29.440452391941697,22.121931076831103,44.0,65.84615384615384,15.692307692307692,-104.32417101009436
all,2021,both,325,484.45298035988264,29.30456341079728,21.681611630078493,44.92307692307692,66.15384615384615,15.384615384615385,-92.17612565173823
all,2021,current,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2021,gameday,325,491.96148749966477,29.54607527863327,22.4371931928409,44.30769230769231,65.53846153846153,15.692307692307692,-154.08446264968546
all,2021,past_selected,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2022,bignoon,343,450.5777020803145,27.44642946478454,20.102401357895072,49.85422740524781,66.76384839650146,12.536443148688047,-96.51012740023721
all,2022,both,343,448.94434598160547,27.387360935125827,20.938440304592927,48.97959183673469,67.93002915451895,12.82798833819242,-111.45028896542367
all,2022,current,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,2022,gameday,343,451.2185043341449,27.283610886370568,20.568797407671315,49.27113702623907,67.93002915451895,12.244897959183673,-131.69438104875744
all,2022,past_selected,343,450.5777020803145,27.44642946478454,20.102401357895072,49.85422740524781,66.76384839650146,12.536443148688047,-96.51012740023721
all,2023,bignoon,393,467.7876089892936,47.842731091810656,23.53079433297259,41.221374045801525,60.05089058524173,22.391857506361323,-157.1834555965153
all,2023,both,393,464.7989445616673,47.90746212260519,24.063742568369868,40.458015267175576,60.30534351145038,22.137404580152673,-156.45746923970296
all,2023,current,393,473.47730456613203,47.61423433039883,23.93293134690868,41.73027989821883,61.57760814249363,21.882951653944023,-170.37103353254517
all,2023,gameday,393,469.22258493268646,47.693959797418685,24.17468851147667,39.94910941475827,61.32315521628499,21.882951653944023,-162.60837878635598
all,2023,past_selected,393,467.7876089892936,47.842731091810656,23.53079433297259,41.221374045801525,60.05089058524173,22.391857506361323,-157.1834555965153
all,2024,bignoon,405,418.263125393432,39.92008463652924,22.497419502422574,44.69135802469136,58.0246913580247,21.48148148148148,-19.103190370405063
all,2024,both,405,417.07733141574045,39.8793201308136,22.9324764026665,43.95061728395061,57.53086419753086,21.48148148148148,-19.106036284259872
all,2024,current,405,408.1369589726557,39.636299252113815,22.8432407779073,44.19753086419753,59.75308641975309,21.728395061728396,-27.289892965998863
all,2024,gameday,405,406.54703894430395,39.59959281633997,22.882354785386166,44.19753086419753,59.25925925925925,20.74074074074074,-23.590401517979522
all,2024,past_selected,405,418.263125393432,39.92008463652924,22.497419502422574,44.69135802469136,58.0246913580247,21.48148148148148,-19.103190370405063
all,2025,bignoon,355,488.3277397800004,31.09439211055115,21.317500456266114,47.6056338028169,64.22535211267606,15.774647887323944,-212.36772793391108
all,2025,both,355,501.66341344705097,31.234275169241332,21.146820708009088,48.16901408450705,63.66197183098592,16.056338028169016,-237.88227503074387
all,2025,current,355,494.8400014121133,31.123127100392466,21.55538758332914,46.478873239436616,64.50704225352113,15.211267605633802,-218.9143258586129
all,2025,gameday,355,508.77919675183983,31.335311485214415,21.86191865879388,46.478873239436616,63.94366197183099,15.774647887323944,-238.04021479857505
all,2025,past_selected,355,488.3277397800004,31.09439211055115,21.317500456266114,47.6056338028169,64.22535211267606,15.774647887323944,-212.36772793391108
major,2021,bignoon,186,706.1238991677773,24.288204235252692,20.31520639213539,49.46236559139785,72.04301075268818,11.827956989247312,-174.03167553637073
major,2021,both,186,724.6098230836509,24.414769250281438,20.16840365818424,48.38709677419355,72.04301075268818,11.29032258064516,-153.14849717524797
major,2021,current,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
major,2021,gameday,186,737.5022667179504,24.730704250573442,20.80498037991847,47.8494623655914,71.50537634408603,11.827956989247312,-261.83671288008924
major,2021,past_selected,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
major,2022,bignoon,180,704.7561574913288,20.66751597131497,15.137803893433425,60.0,75.0,7.777777777777778,-124.2226796974327
major,2022,both,180,701.2471971361705,20.505987881106556,15.575723573141508,59.44444444444444,76.11111111111111,7.222222222222221,-152.1852497955981
major,2022,current,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
major,2022,gameday,180,707.6604399144211,20.42133753955716,15.818250865919506,59.44444444444444,75.0,6.111111111111111,-193.68708063455253
major,2022,past_selected,180,704.7561574913288,20.66751597131497,15.137803893433425,60.0,75.0,7.777777777777778,-124.2226796974327
major,2023,bignoon,202,776.2795880326115,22.894420928370995,19.474887436901916,50.99009900990099,70.79207920792079,8.91089108910891,-325.5453615847304
