scope,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct,mae_improvement_pct,year_ci025,year_ci975
all,band_mean,1821,466.49810855099787,-60.95217363000948,2.9776182998971445,22.703522784095078,36.397399230302064,45.30477759472817,-0.32579186020722517,-10.97597560337048,13.770127293291454
all,band_median,1821,465.11842133146655,-112.99143863635318,5.519825715446913,22.502095793292593,35.860455738942264,47.995606809445356,-0.02907423095717121,-1.8926894596576755,2.3057312923410724
all,current,1821,464.98323103296394,-136.85945231612718,6.685819150668715,22.519726903912296,35.6226590855278,49.64305326743548,0.0,0.0,0.0
all,global_mean,1821,464.20819737237895,-35.83741283404677,1.7507191281376788,22.852257988043483,36.28614818026624,44.92037342119715,0.16667991636241108,-11.439952912084063,8.44613017146287
all,past_selected,1821,465.9206552878265,-127.98526041790724,6.252299644812576,22.62594981175248,35.800868077379,48.87424492037342,-0.20160388424761422,0.0,2.6770249369128862
major,band_mean,987,743.2637297540558,-102.4404388725942,3.0285190370573867,18.499492865241237,24.470597384282797,48.530901722391086,-0.3774535786168931,-19.509093046811326,25.692718202637433
major,band_median,987,740.7182278019114,-198.4520919390095,5.8669793393665515,19.25457129100026,23.479944802959405,53.49544072948328,-0.033684612357509636,-3.4731910013114597,4.302102884261866
major,current,987,740.468803755738,-242.48821444242228,7.168850326913212,18.930084637686495,23.04121359134063,56.53495440729483,0.0,0.0,0.0
major,global_mean,987,739.0388784305858,-56.10408688733776,1.6586447409342342,18.521960996089554,24.265340887712146,47.82168186423505,0.19311081275801278,-20.34415223080301,15.63365237923071
major,past_selected,987,742.1983372593903,-226.11546525634478,6.684811180412964,19.165519410060348,23.370006472962743,55.116514690982775,-0.23357277104449903,0.0,4.967166541527014
major_2022_2025,band_mean,801,741.1510103177441,-67.04914934362307,1.9488803839326052,18.08734485505062,24.374704280912074,46.94132334581773,-0.46684316133194237,-24.108194829709813,31.31488947992045
major_2022_2025,band_median,801,738.0144180246524,-185.3556431969962,5.38762953168167,18.438025026595533,23.15401252340123,53.05867665418227,-0.04166189383831842,-4.0856845434646045,5.24350422128858
major_2022_2025,current,801,737.707075286109,-239.6173821618756,6.964825360442484,18.342300053087488,22.61340365215562,56.803995006242204,0.0,0.0,0.0
major_2022_2025,global_mean,801,735.9451073760898,-9.953045211977463,0.2892996371155476,17.957395777977638,24.121785227085322,46.06741573033708,0.23884384046822804,-25.099437840000505,18.969673644491866
major_2022_2025,past_selected,801,739.8382233112086,-219.44272117978016,6.378419694965764,18.491428912457206,23.018545442618827,55.0561797752809,-0.28888810972471646,0.0,6.024880828605119
major_2024_2025,band_mean,419,727.8057637850469,-30.449189587392727,0.8688233512763932,18.3368373973549,25.523388550210225,46.30071599045346,-0.7995356063783765,-33.199230924568205,42.39950493594053
major_2024_2025,band_median,419,723.7429195266815,-158.2966439233619,4.516764568546816,19.25457129100026,23.991417623028276,53.22195704057279,-0.23684039996170192,-4.8794685905621,7.903007259744369
major_2024_2025,current,419,722.0328540273482,-207.80285401663858,5.929352290751499,18.69821952304687,23.310743474764255,57.279236276849645,0.0,0.0,0.0
major_2024_2025,global_mean,419,719.3265323542968,28.34836572874112,-0.8088793971006369,18.07124521681086,25.086801747022662,44.630071599045344,0.3748197409516929,-34.83891988944713,27.492370169209412
major_2024_2025,past_selected,419,726.1069580085052,-169.23506536112913,4.828876519636949,19.228938914457387,24.085250811664086,53.93794749403341,-0.5642546538474624,0.0,7.903007259744369
major_pred_ge5M,band_mean,154,1439.4165936297932,-277.24308024080216,3.469670001298897,15.51095053976681,19.544536987131423,54.54545454545454,1.8063920457818128,-48.86628783986152,-3.5874091789714875
major_pred_ge5M,band_median,154,1448.458869727023,-337.1145012320524,4.218954972336042,15.375557066919598,19.465637530767225,55.84415584415584,1.1895492790424234,-39.77839848770763,8.319380305065232
major_pred_ge5M,current,154,1465.8964301433014,-397.47082524106446,4.974308457158328,15.396253156260883,19.573540605401465,58.44155844155844,0.0,0.0,0.0
major_pred_ge5M,global_mean,154,1425.8024787661645,64.41508720268423,-0.8061485087530018,15.439744285100126,20.211461009915208,44.8051948051948,2.735114879379119,-59.578385442195426,-13.057411085311681
major_pred_ge5M,past_selected,154,1460.1877984492844,-371.5059628369439,4.649360746675568,15.34802479849777,19.583836443083776,56.493506493506494,0.38942940146589056,-16.381290948049248,0.0
major_pred_ge3M,band_mean,386,1165.2376194481621,-175.10201518407976,3.081081550312692,17.30935781355657,22.363814996224864,49.740932642487046,0.06757532655725651,-29.13641553072973,18.611868957263017
major_pred_ge3M,band_median,386,1165.5710663612103,-307.4991428539483,5.410731194545438,17.03584900748728,21.597804104522723,53.10880829015544,0.038978448148396794,-6.599926791463356,6.25717486047945
major_pred_ge3M,current,386,1166.0255650314732,-340.92857983296767,5.998952988595718,17.58392036761143,21.44018728435654,54.92227979274611,0.0,0.0,0.0
major_pred_ge3M,global_mean,386,1162.9896565054012,-17.587440658194758,0.3094672489760586,17.681832485805913,22.8277911181835,44.559585492227974,0.2603638048013224,-33.64771140011953,18.592714697111862
major_pred_ge3M,past_selected,386,1163.6893838783678,-331.20656598513943,5.827885182968606,17.528029010344838,21.439056739063414,54.145077720207254,0.20035419661166287,-6.582233029916794,0.0
