scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
all,aligned_postgame,1821,446.070226665643,35.902108953669924,21.073762650304314,47.22679846238331,64.14058209774849,17.737506864360242,-96.88958670593152
all,legacy_primary_plus_score,1821,473.7849091867338,36.59108807726809,22.585695729927828,44.92037342119715,62.21856123009335,18.506315211422294,-103.40825811258229
major,aligned_postgame,987,707.1592284907634,22.356877381629026,18.069993141907343,55.82573454913881,73.55623100303951,9.017223910840933,-179.16591524838466
major,legacy_primary_plus_score,987,756.7953298978782,23.729166061903747,18.60790882505995,53.29280648429585,69.70618034447821,10.536980749746707,-186.41813810432464
major_week1,aligned_postgame,74,869.2446229837187,25.824663521576806,19.971284174213014,51.35135135135135,67.56756756756756,12.162162162162163,-267.0270741329269
major_week1,legacy_primary_plus_score,74,934.3699314047109,26.427776233660087,20.938151483050962,44.5945945945946,62.16216216216216,9.45945945945946,-323.5189268526452
