scope,variant,delta_mae_000s,date_ci025,date_ci975,year_ci025,year_ci975
all,leader,30.083933318439495,16.41586839325795,43.58531260622854,14.216237737854351,47.64939145600208
all,leader_only,1.5353367315854083,-2.580167481097634,5.918019581952279,-2.8730090029807727,5.801953114743472
all,own_strength,29.368316455959302,16.24296389673095,42.54322997974046,11.337744791394993,49.10363748880548
all,past_selected,0.8556775520560712,-2.3186707767294923,4.13411362115007,0.08871995082543473,1.6969766015796957
all,share,32.71584746670948,17.994436215086647,47.53788628991287,17.046192489056562,51.67765988901964
all,share_only,19.97378729078945,7.910872080027788,32.797434535532936,13.609385153264132,25.909034139730608
all,stronger,29.021526325884206,15.722450434737942,42.35529845621678,10.781430485199518,48.4250568496894
all,stronger_only,2.839701935138621,-0.7921363787037884,6.603490263027618,-1.2950935689419922,7.791409944490098
major,leader,39.968530736305866,17.00992734970973,62.93970718138837,18.016201063350586,60.01755030904052
major,leader_only,3.598755675277754,-4.240042660346185,11.410435349928788,-4.848349395433115,11.321436652762461
major,own_strength,38.07256523144937,16.936357248424237,60.045159724252194,12.595788377987258,59.897096073217035
major,past_selected,2.203877671583804,-3.861673828366484,8.281078549604585,0.4418945450624081,4.321214122351274
major,share,45.26258048757275,20.157596518796765,70.94063520352985,23.951933602914146,63.78157644273889
major,share_only,37.946529967678636,15.915990583093858,62.269780255947474,28.89884450360578,48.47373682833829
major,stronger,37.6557242838907,16.202802039333974,59.75620835063979,11.607340516326774,59.27765897525769
major,stronger_only,5.4372741754093,-1.336513664507179,12.218140009081907,-1.9857409189520483,14.332767061823137
FOX,leader,47.74342974940366,7.736079007184361,90.18593152449215,25.679103472867194,76.9459012582099
FOX,leader_only,-0.3223109300384383,-14.675762140313115,13.961866425385942,-19.941811257033486,15.857625595057044
FOX,own_strength,52.63492598624166,14.198691922685061,91.81183233400884,21.08453193423276,86.74838018672142
FOX,past_selected,0.14017579326897114,-12.351102817587758,11.874009614858446,-17.433692035306954,12.725245641570702
FOX,share,44.38617641664069,-0.15936889215849437,89.06309530515831,28.550096732340712,61.34197890690127
FOX,share_only,18.16415464102744,-24.505097598352275,57.83987781728591,-15.02419346162404,42.46414062512222
FOX,stronger,52.76057365057792,13.064758486981257,93.23965925851331,26.87614074315885,79.31837394333883
FOX,stronger_only,2.505367864266924,-11.368709948489391,15.490822329399837,-14.047451393508577,16.355701569405028
slate_leaders,leader,67.99657083050545,19.006161697414043,121.84929841363812,32.06528027315511,105.49482249291951
slate_leaders,leader_only,-1.4419336928390587,-17.36397565469005,15.605754947188634,-13.713877043824521,7.739020336240761
slate_leaders,own_strength,63.503973288085156,19.566503937873367,113.10064379229418,17.9175388010065,96.05744180286096
slate_leaders,past_selected,0.8145114630420974,-12.431806776790726,14.750183761663592,-1.3999838245013911,3.9899977952659604
slate_leaders,share,73.41255281751933,19.231755412130855,131.72034136962478,39.40325543814119,119.89496394891056
slate_leaders,share_only,60.489903513772056,5.108027758729891,122.0625114369625,15.059982803783436,101.11237581460293
slate_leaders,stronger,64.04407264837725,17.823913191486227,115.46273460662422,21.695553797653048,99.04504017801437
slate_leaders,stronger_only,-4.846781021925738,-18.36592787401289,9.895355097271587,-13.291751100696292,3.0440054717350007
lower_draws,leader,22.014159225763176,11.691911844302807,33.94407019853926,3.2211359759175324,58.32751650374769
lower_draws,leader_only,0.7819643304618303,-0.7609778084818918,2.49297430879465,-0.6116683292550592,2.5072547625632686
lower_draws,own_strength,22.14052035429933,11.77520456269327,33.98777381833223,2.91731742325947,58.160835407525894
lower_draws,past_selected,0.25821281548604835,-1.0170301773011212,1.6528173827794348,-0.7605309993782322,1.8564462116543448
lower_draws,share,21.233419737789763,10.714146860004426,33.13599050562837,2.7501812663790504,55.96623646561588
lower_draws,share_only,3.392447721993923,-1.8052046786036013,8.761239966753683,-0.41135199774683334,8.26237207143981
lower_draws,stronger,21.789928060139992,11.33790904200178,33.66378980325345,3.2255087091534596,57.15407737590676
lower_draws,stronger_only,4.094145880177928,1.817894679910931,6.604743899150764,2.9642235693283934,5.348463828486846
major_2024_2025,leader,27.171345757317408,2.3127614502916085,49.524204604079685,2.2840623624658454,53.65239606908062
major_2024_2025,leader_only,9.328855531861635,-0.33568860389592053,19.13834564559563,1.9987544931757997,17.128371908000258
major_2024_2025,own_strength,20.962049144491722,-1.3511428013149558,41.059174430665536,-8.751519970390023,52.5784576608191
major_2024_2025,past_selected,1.030384177866283,-4.868230726697025,6.510243706329786,0.0,1.9987544931757997
major_2024_2025,share,34.04408562401183,2.482115129202082,65.10823714457759,7.51819026274511,62.26868364388183
major_2024_2025,share_only,44.06985885909604,13.18527620056151,77.63199618688881,32.0936292384703,56.81303914508202
major_2024_2025,stronger,20.678833383177977,-1.966659883686263,41.440117416328484,-8.365823787885288,51.58349323022066
major_2024_2025,stronger_only,6.800838883278219,-4.570073953274054,19.20610658380602,-6.3884264559504675,20.834736978221063
week1_major,leader,-26.33958616421484,-122.57836366716143,65.92882146453702,-59.304293550161894,14.616565436507265
week1_major,leader_only,22.7164664253833,-10.71269039010614,55.48063433851108,-8.082366287842648,58.10332510836934
week1_major,own_strength,-19.8367960488334,-103.56601998081962,71.00917469739277,-53.33396255843192,18.566324712855423
week1_major,past_selected,12.93260141231125,-10.517214742476767,40.06489142596296,-7.481473095490524,43.88562208966178
week1_major,share,9.488355012566068,-92.97171176610391,131.0918234868803,-21.46009882532411,43.97377500335801
week1_major,share_only,94.71985294037879,-33.71179614656427,297.04496353201216,-0.32208278412641794,191.63314555667404
week1_major,stronger,-24.262617890278193,-106.7539003211379,59.7921438257173,-52.99931089431368,9.934755564015935
week1_major,stronger_only,12.576020913903312,-15.844906211888219,47.875270917678804,-9.022325159713537,36.34682240469176
