scope,year,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
all,2021,current,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2021,leader,325,561.9348366553118,41.147716815426406,24.175968057365946,42.769230769230774,60.92307692307693,21.846153846153847,-69.87034275715877
all,2021,leader_only,325,495.38431967313966,29.780498031604456,23.066025098778297,42.769230769230774,65.84615384615384,15.076923076923077,-151.44922963219435
all,2021,own_strength,325,564.6364113344272,40.95720983243248,23.86572214898335,42.15384615384615,60.92307692307693,21.846153846153847,-68.29357164295229
all,2021,past_selected,325,501.6538603036215,29.81963355837281,23.354422502255957,43.38461538461538,65.53846153846153,15.384615384615385,-150.27540659422758
all,2021,share,325,567.6258051433592,41.18279266580626,23.83875497536763,43.69230769230769,59.38461538461538,22.46153846153846,-67.0802380934962
all,2021,share_only,325,526.2605352185949,31.176505372449874,22.809430882211835,44.61538461538462,63.07692307692307,16.615384615384617,-120.47571782025135
all,2021,stronger,325,564.114404427033,40.99329900561166,23.693389384481996,42.769230769230774,60.92307692307693,21.846153846153847,-63.54499034735578
all,2021,stronger_only,325,503.43541465032865,29.903900447245363,22.849629312948583,42.15384615384615,64.92307692307693,15.692307692307692,-152.55172618939054
all,2022,current,343,456.7251006782351,27.299346585081057,20.082768209545165,49.85422740524781,67.63848396501457,12.244897959183673,-130.20042861579068
all,2022,leader,343,487.2048210219569,29.92479628915273,20.179018708750153,49.27113702623907,65.3061224489796,15.160349854227405,-99.35398131666298
all,2022,leader_only,343,458.2972046719935,27.25841138773756,20.42450867040836,49.85422740524781,67.63848396501457,11.9533527696793,-136.09141385687778
all,2022,own_strength,343,493.4568137869412,30.022287683493797,19.624032814512038,51.02040816326531,66.1807580174927,15.743440233236154,-102.225290077439
all,2022,past_selected,343,458.2972046719935,27.25841138773756,20.42450867040836,49.85422740524781,67.63848396501457,11.9533527696793,-136.09141385687778
all,2022,share,343,485.37564560438614,29.462566380744125,19.626101407761464,50.72886297376093,65.3061224489796,14.285714285714285,-97.0663077140758
