Team,Raw Coefficient,Adjusted (Shrinkage),Games Used
New Mexico,-0.23684069484498949,-0.11842034742249474,10.0
Temple,-0.17456809914254023,-0.12166867515995229,23.0
Georgia Southern,-0.20257753551514002,-0.12466309877854771,16.0
Rice,-0.2515244552991476,-0.13719515743589866,12.0
Kennesaw State,-0.49227010869259935,-0.1406486024835998,4.0
FAU,-0.29722111182174427,-0.14078894770503675,9.0
North Texas,-0.23455485512594576,-0.14768268656078068,17.0
Charlotte,-0.292179772174725,-0.16514508862049673,13.0
Toledo,-0.1656781781951926,-0.1656781781951926,29.0
Massachusetts,-0.41204130962762725,-0.16966406867019945,7.0
Troy,-0.27627026780733743,-0.18100465821860037,19.0
Louisiana Monroe,-0.5712068111023427,-0.19040227036744756,5.0
