Unnamed: 0,Date,DoW,HELPER,Time Slot,Team 1,Team 2,City,Persons 2+,Winner,Winner Score,Loser Score,25-11 Rankings,Top 10 Rankings,Competing Tier 1,FOX,FS1,ESPN2,NBC,CBS,ABC,CW,ESPNU,FS2,NFLN,BTN,ESPNNEWS,Daytime (11a-6:30p),Sat Late (9:30p-Later),Sun,Mon,Midweek,Spread,SEC/Big 10,Big 12/ACC,Conf Champ,Team 1 11-25?,Team 1 Top 10?,Team 2 11-25?,Team 2 Top 10?,Score Diff,Spread Help,Team1_SEC,Team2_SEC,Team1_Big Ten,Team2_Big Ten,Team1_ACC,Team2_ACC,Team1_Big 12,Team2_Big 12,Big 12,SEC,ACC,Big 10,Pac 12,#1-5,#6-10,#11-15,#16-25,source_index,team1_games_before,team1_win_pct_before,team2_games_before,team2_win_pct_before,avg_win_pct_before,win_pct_diff_before,Team1_WinPct_ToDate,Team2_WinPct_ToDate,Avg_WinPct_ToDate,WinPct_Diff_ToDate,ParsedDate,Year,Time_float,Monday,Weekday,Black Friday,Friday,Friday Power,Friday Non-Power,Week 0 Power,Week 1 Power,Sat Early,Sat Mid,Sat Late,OldNielsenSystem,DeionEra,DeionEra25,Michigan_OhioSt,Texas_Oklahoma,Alabama_Auburn,Georgia_Florida,NotreDame_USC,Florida_Tennessee,Oregon_Washington,BYU_Utah,Iowa_IowaSt,OleMiss_MississippiSt,Clemson_SouthCarolina,Arizona_ArizonaSt,Miami_FloridaSt,Texas_TexasA&M,Oregon_OregonSt,USC_UCLA,Louisville_Kentucky,Washington_WashingtonSt,Kansas_KansasSt,Minnesota_Wisconsin,Army_Navy,Army_AirForce,Navy_AirForce,OhioSt_PennSt,Alabama_LSU,Vanderbilt_Tennessee,Georgia_GeorgiaTech,Alabama_Georgia,WestVirginia_Pittsburgh,BothRanked,SEC_PostseasonImplications,Big10_PostseasonImplications,ACC_PostseasonImplications,Big12_PostseasonImplications,SEC_ConfChamp,Big10_ConfChamp,Big12_ConfChamp,ACC_ConfChamp,Pac12_ConfChamp,Other_ConfChamp,OhioSt_BTN,ln_viewers,Competing_Games_Score
2018-19,10/6/18,Sat,0.6666666666666666,4:00p,Indiana,Ohio St.,3.988M,3988.0,Ohio St.,49.0,26.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1043930,5.0,0.8,5.0,1.0,0.9,0.2,0.8,1.0,0.9,0.19999999999999996,2018-10-06,2018,16.0,0,0,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.291295851905407,13.26577944002952
2018-19,10/6/18,Sat,0.6875,4:30p,Florida St.,Miami,2.810M,2810.0,Miami,28.0,27.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1043931,5.0,0.6,5.0,0.8,0.7,0.2,0.6,0.8,0.7,0.20000000000000007,2018-10-06,2018,16.5,0,0,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.941295570906532,15.138744608615127
2018-19,10/6/18,Sat,0.8125,7:30p,Auburn,Mississippi St.,(1.528M),1528.0,Mississippi St.,23.0,9.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043932,5.0,0.8,5.0,0.6,0.7,0.2,0.8,0.6,0.7,0.20000000000000007,2018-10-06,2018,19.5,0,0,0,0,0,0,0,0,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.332369205929062,9.976451577174391
2018-19,10/6/18,Sat,0.6458333333333334,3:30p,Iowa St.,Oklahoma St.,(726K),726.0,Iowa St.,48.0,42.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043933,4.0,0.25,5.0,0.8,0.525,0.55,0.5,0.8,0.65,0.30000000000000004,2018-10-06,2018,15.5,0,0,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.588926477533519,17.260104524300516
2018-19,10/6/18,Sat,0.5,12:00p,Northwestern,Michigan St.,620K,620.0,Northwestern,29.0,19.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1043934,4.0,0.25,4.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,2018-10-06,2018,12.0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.431331081933479,14.586684090060015
2018-19,10/5/18,Fri,0.875,9:00p,Utah St.,BYU,(617K),617.0,Utah St.,45.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043935,4.0,0.75,5.0,0.6,0.675,0.15,0.5,0.6,0.55,0.09999999999999998,2018-10-05,2018,21.0,0,0,0,1,0,1,0,0,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42648845745769,0.0
2018-19,10/6/18,Sat,0.6458333333333334,3:30p,Kansas St.,Baylor,317K,317.0,Baylor,37.0,34.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043936,5.0,0.4,5.0,0.6,0.5,0.2,0.4,0.6,0.5,0.19999999999999996,2018-10-06,2018,15.5,0,0,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.762051382780177,17.700264593293475
2018-19,10/6/18,Sat,0.6458333333333334,3:30p,San Diego St.,Boise St.,(269K),269.0,San Diego St.,19.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043937,4.0,0.75,4.0,0.75,0.75,0.0,0.5,0.5,0.5,0.0,2018-10-06,2018,15.5,0,0,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.598421958998375,18.01074787139862
2018-19,10/13/18,Sat,0.5,12:00p,Minnesota,Ohio St.,2.405M,2405.0,Ohio St.,30.0,14.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1043938,5.0,0.6,6.0,1.0,0.8,0.4,0.6,1.0,0.8,0.4,2018-10-13,2018,12.0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.785720896534624,4.595003222928897
2018-19,10/13/18,Sat,0.7916666666666666,7:00p,West Virginia,Iowa St.,1.323M,1323.0,Iowa St.,30.0,14.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043939,5.0,1.0,5.0,0.4,0.7,0.6,1.0,0.4,0.7,0.6,2018-10-13,2018,19.0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.188412736496954,11.81943476423384
