model,n,mae_000s,rmse_000s,mape_pct,median_ape_pct,wape_pct,bias_000s,d8_d10_bias_000s,d8_d10_ratio,title_n,title_bias_000s,both_ranked_n,both_ranked_bias_000s,mae_year_wins_vs_served,mape_year_wins_vs_served,worst_year_mae_delta_000s,mae_delta_vs_served_000s,mape_delta_vs_served_pct_points,bias_change_vs_served_000s,bootstrap_reps,date_blocks,mae_delta_ci05_000s,mae_delta_ci95_000s,mae_improvement_probability,mape_delta_ci05_pct_points,mape_delta_ci95_pct_points,mape_improvement_probability,mae_practical_gain_gate,mape_guard_gate,season_win_gate,worst_year_guard_gate,bootstrap_probability_gate,bootstrap_ci_guard_gate,practical_gate_pass,deployable_now,deployable_now_gate_pass
served_current,1821,499.48916428415095,961.1103124642151,37.16327229470237,23.7312659874487,24.400902996518646,-89.99806856198391,-128.72237776811764,0.9731826442568857,43,-1238.5454909117136,220,-351.1795088255705,0,0,0.0,0.0,0.0,0.0,,,,,,,,,False,True,False,True,False,False,False,False,False
nonlinear_blend25_predicted_1m_plus,1821,474.09046391229094,906.4798101507056,36.54430359360405,22.561640848959957,23.160132889123823,-123.43023933158497,-261.47918685223414,0.9455247759183846,43,-1095.4173912719307,220,-444.8662152676012,5,4,-5.4096311170007425,-25.398700371860002,-0.6189687010983178,-33.43217076960106,2000.0,281.0,-34.61304260594212,-16.036636836171752,1.0,-0.8641459703256713,-0.36478229884873836,1.0,True,True,True,True,True,True,True,False,False
nonlinear_missing_context_predicted_1m_plus,1821,495.2273748408714,967.9003397739871,36.5823548834058,22.932098732021526,24.192707267295795,-195.08863265772212,-465.45937301227826,0.9030285968417774,43,-1478.8934372462747,220,-779.7049308493645,3,5,10.042392833718054,-4.261789443279554,-0.5809174112965678,-105.0905640957382,2000.0,281.0,-15.291041085521694,6.717735201989398,0.7475,-0.8353263293789245,-0.32884762663172384,1.0,True,True,True,True,False,False,False,False,False
nonlinear_complete_context_only,1821,481.5844115965767,924.0909303016439,36.77546490163528,22.73532141782027,23.52622509608352,-108.97056162080636,-212.4168759041904,0.9557461645307292,43,-1170.5141868741728,220,-394.403062532778,5,4,-6.51765282736676,-17.904752687574273,-0.3878073930670851,-18.97249305882245,2000.0,281.0,-25.51667791755543,-10.92438850361037,0.9995,-0.5886965419396033,-0.19094641087226766,0.998,True,True,True,True,True,True,True,False,False
